Date,trading_days,UPPER_BAND,LOWER_BAND,Asset_price,Cost_Basis,Stocks,BUY_Signal,SELL_Signal,starting_cash,ending_cash
2010-01-04,1,,,,,,,,10000.0,10000.0
2010-01-05,2,,,,,,,,10000.0,10000.0
2010-01-06,3,,,,,,,,10000.0,10000.0
2010-01-07,4,,,,,,,,10000.0,10000.0
2010-01-08,5,,,,,,,,10000.0,10000.0
2010-01-11,6,,,,,,,,10000.0,10000.0
2010-01-12,7,,,,,,,,10000.0,10000.0
2010-01-13,8,,,,,,,,10000.0,10000.0
2010-01-14,9,,,,,,,,10000.0,10000.0
2010-01-15,10,,,,,,,,10000.0,10000.0
2010-01-19,11,,,,,,,,10000.0,10000.0
2010-01-20,12,,,,,,,,10000.0,10000.0
2010-01-21,13,,,,,,,,10000.0,10000.0
2010-01-22,14,,,,,,,,10000.0,10000.0
2010-01-25,15,,,,,,,,10000.0,10000.0
2010-01-26,16,,,,,,,,10000.0,10000.0
2010-01-27,17,,,,,,,,10000.0,10000.0
2010-01-28,18,,,,,,,,10000.0,10000.0
2010-01-29,19,,,,,,,,10000.0,10000.0
2010-02-01,20,,,,,,,,10000.0,10000.0
2010-02-02,21,,,,,,,,10000.0,10000.0
2010-02-03,22,,,,,,,,10000.0,10000.0
2010-02-04,23,,,,,,,,10000.0,10000.0
2010-02-05,24,,,,,,,,10000.0,10000.0
2010-02-08,25,,,,,,,,10000.0,10000.0
2010-02-09,26,,,,,,,,10000.0,10000.0
2010-02-10,27,,,,,,,,10000.0,10000.0
2010-02-11,28,,,,,,,,10000.0,10000.0
2010-02-12,29,,,,,,,,10000.0,10000.0
2010-02-16,30,,,,,,,,10000.0,10000.0
2010-02-17,31,,,,,,,,10000.0,10000.0
2010-02-18,32,,,,,,,,10000.0,10000.0
2010-02-19,33,,,,,,,,10000.0,10000.0
2010-02-22,34,,,,,,,,10000.0,10000.0
2010-02-23,35,,,,,,,,10000.0,10000.0
2010-02-24,36,,,,,,,,10000.0,10000.0
2010-02-25,37,,,,,,,,10000.0,10000.0
2010-02-26,38,,,,,,,,10000.0,10000.0
2010-03-01,39,,,,,,,,10000.0,10000.0
2010-03-02,40,,,,,,,,10000.0,10000.0
2010-03-03,41,,,,,,,,10000.0,10000.0
2010-03-04,42,,,,,,,,10000.0,10000.0
2010-03-05,43,,,,,,,,10000.0,10000.0
2010-03-08,44,,,,,,,,10000.0,10000.0
2010-03-09,45,,,,,,,,10000.0,10000.0
2010-03-10,46,,,,,,,,10000.0,10000.0
2010-03-11,47,,,,,,,,10000.0,10000.0
2010-03-12,48,,,,,,,,10000.0,10000.0
2010-03-15,49,,,,,,,,10000.0,10000.0
2010-03-16,50,,,,,,,,10000.0,10000.0
2010-03-17,51,,,,,,,,10000.0,10000.0
2010-03-18,52,,,,,,,,10000.0,10000.0
2010-03-19,53,,,,,,,,10000.0,10000.0
2010-03-22,54,,,,,,,,10000.0,10000.0
2010-03-23,55,,,,,,,,10000.0,10000.0
2010-03-24,56,,,,,,,,10000.0,10000.0
2010-03-25,57,,,,,,,,10000.0,10000.0
2010-03-26,58,,,,,,,,10000.0,10000.0
2010-03-29,59,,,,,,,,10000.0,10000.0
2010-03-30,60,,,,,,,,10000.0,10000.0
2010-03-31,61,,,,,,,,10000.0,10000.0
2010-04-01,62,,,,,,,,10000.0,10000.0
2010-04-05,63,,,,,,,,10000.0,10000.0
2010-04-06,64,,,,,,,,10000.0,10000.0
2010-04-07,65,,,,,,,,10000.0,10000.0
2010-04-08,66,,,,,,,,10000.0,10000.0
2010-04-09,67,,,,,,,,10000.0,10000.0
2010-04-12,68,,,,,,,,10000.0,10000.0
2010-04-13,69,,,,,,,,10000.0,10000.0
2010-04-14,70,,,,,,,,10000.0,10000.0
2010-04-15,71,,,,,,,,10000.0,10000.0
2010-04-16,72,,,,,,,,10000.0,10000.0
2010-04-19,73,,,,,,,,10000.0,10000.0
2010-04-20,74,,,,,,,,10000.0,10000.0
2010-04-21,75,,,,,,,,10000.0,10000.0
2010-04-22,76,,,,,,,,10000.0,10000.0
2010-04-23,77,,,,,,,,10000.0,10000.0
2010-04-26,78,,,,,,,,10000.0,10000.0
2010-04-27,79,,,,,,,,10000.0,10000.0
2010-04-28,80,,,,,,,,10000.0,10000.0
2010-04-29,81,,,,,,,,10000.0,10000.0
2010-04-30,82,,,,,,,,10000.0,10000.0
2010-05-03,83,,,,,,,,10000.0,10000.0
2010-05-04,84,,,,,,,,10000.0,10000.0
2010-05-05,85,,,,,,,,10000.0,10000.0
2010-05-06,86,,,,,,,,10000.0,10000.0
2010-05-07,87,,,,,,,,10000.0,10000.0
2010-05-10,88,,,,,,,,10000.0,10000.0
2010-05-11,89,,,,,,,,10000.0,10000.0
2010-05-12,90,,,,,,,,10000.0,10000.0
2010-05-13,91,9.748565096222183,8.502634903777821,9.227,0.0,0.0,False,False,10000.0,10000.0
2010-05-14,92,9.707088234911225,8.492111765088776,9.065,0.0,0.0,False,False,10000.0,10000.0
2010-05-17,93,9.59044359284539,8.522156407154615,9.079,0.0,0.0,False,False,10000.0,10000.0
2010-05-18,94,9.55238813151814,8.515011868481864,9.013,0.0,0.0,False,False,10000.0,10000.0
2010-05-19,95,9.528480623829095,8.484319376170903,8.869,0.0,0.0,False,False,10000.0,10000.0
2010-05-20,96,9.581524198984283,8.370475801015719,8.491,0.0,0.0,False,False,10000.0,10000.0
2010-05-21,97,9.523372217248607,8.47462778275139,8.654,0.0,0.0,False,False,10000.0,10000.0
2010-05-24,98,9.507128667728399,8.439271332271602,8.813,0.0,0.0,False,False,10000.0,10000.0
2010-05-25,99,9.464660555973165,8.401139444026835,8.758000000000001,0.0,0.0,False,False,10000.0,10000.0
2010-05-26,100,9.320256370296729,8.417143629703272,8.718,0.0,0.0,False,False,10000.0,10000.0
2010-05-27,101,9.250437391199128,8.451162608800871,9.048,0.0,0.0,False,False,10000.0,10000.0
2010-05-28,102,9.292067336637487,8.431332663362511,9.174,0.0,0.0,False,False,10000.0,10000.0
2010-06-01,103,9.388369732299168,8.382230267700834,9.315,0.0,0.0,False,False,10000.0,10000.0
2010-06-02,104,9.533850027221902,8.319549972778098,9.427,0.0,0.0,False,False,10000.0,10000.0
2010-06-03,105,9.652600454777904,8.306399545222096,9.397,0.0,0.0,False,False,10000.0,10000.0
